RA,Dec,Distance,Name,Max
340.0670833333333,-66.48508333333334,44.0,SN2006bh,2006/04/08
226.13626249999996,35.96500833333334,28.9,SN2006bk,2006/04/03
300.06562499999995,-38.57175,85.3,SN2006bn,2006/04/04
279.9953333333333,39.98244444444445,100.0,SN2006bq,2006/04/24
202.5075,13.415777777777778,98.0,SN2006br,2006/04/30
35.727624999999996,-21.241500000000002,16.0,SN2006ce,2006/05/10
356.77549999999997,29.48072222222222,77.302,SN2006ch,2006/05/08
320.0728333333333,-1.6843055555555555,84.0,SN2006cm,2006/05/24
184.81204166666663,22.42727777777778,90.0,SN2006cp,2006/06/11
193.141125,-9.775194444444445,37.993,SN2006D,2006/01/23
50.67349999999999,-37.20366666666667,12.6,SN2006dd,2006/07/12
18.445208333333333,-31.741722222222222,86.946,SN2006di,2006/06/23
355.44933333333324,-3.669,99.0833,SN2006dm,2006/07/13
49.30912499999999,-32.575500000000005,67.1,SN2006dr,2006/07/20
215.5477083333333,13.92061111111111,34.184,SN2006dy,2006/08/04
208.36937499999996,5.206333333333333,12.0,SN2006E,2006/01/01
18.42125,-0.10177777777777779,77.257,SN2006eb,2006/07/24
31.08129166666667,-8.728388888888889,88.0,SN2006ef,2006/08/21
9.749041666666665,-9.015722222222223,91.0,SN2006ej,2006/08/25
36.43458333333332,41.942166666666665,100.0,SN2006em,2006/08/30
10.690916666666665,-23.558444444444444,95.0,SN2006et,2006/09/16
51.506208333333326,40.695138888888884,62.577,SN2006H,2006/01/13
75.50533333333331,-21.131972222222224,63.0,SN2006hb,2006/09/30
166.82779166666666,76.69716666666667,77.12,SN2006hn,2006/09/28
88.15575,66.81680555555555,97.0,SN2006ke,2006/10/18
55.46033333333333,8.156944444444445,96.0,SN2006kf,2006/10/29
75.17495833333332,62.25527777777778,72.0,SN2006le,2006/11/09
69.622875,44.03375,47.0,SN2006lf,2006/11/03
121.55162499999999,-27.56261111111111,14.2,SN2006mq,2006/10/21
50.67849999999999,-37.20791666666667,12.6,SN2006mr,2006/11/14
92.13016666666667,64.72363888888889,60.0,SN2006N,2006/01/25
89.09795833333334,85.91077777777778,82.58,SN2006nr,2006/10/25
176.0002916666666,19.977305555555553,99.0,SN2006oq,2006/11/07
174.3045833333333,15.435361111111112,56.0,SN2006ou,2006/11/24
49.82458333333333,-12.105083333333333,67.1,SN2006P,2006/01/22
8.288041666666667,-13.4545,94.4,SN2006rs,2006/11/10
29.565666666666665,36.349361111111115,71.132,SN2006td,2007/01/01
185.7247083333333,15.80888888888889,16.0,SN2006X,2006/02/19
6.319416666666666,12.886805555555554,58.0,SN2007A,2007/01/09
215.58762499999997,-0.3937777777777778,19.0,SN2007af,2007/03/14
191.97687499999998,54.010333333333335,51.34,SN2007aj,2007/03/03
149.82699999999997,-19.47383333333333,54.1449,SN2007al,2007/03/09
239.09608333333333,16.516083333333334,78.0,SN2007ap,2007/03/15
141.90004166666665,-80.17755555555556,80.283,SN2007as,2007/03/12
107.94212499999999,49.853722222222224,82.0,SN2007au,2007/03/24
125.68024999999999,22.554694444444443,30.0,SN2007ax,2007/03/27
338.8795833333333,34.80183333333333,94.655,SN2007B,2007/01/04
169.81927916666663,20.81352777777778,94.0,SN2007bc,2007/04/13
245.544125,-1.5142777777777778,74.8869,SN2007bj,2007/04/17
171.2595833333333,-9.798277777777777,20.0,SN2007bm,2007/05/03
202.77420833333332,-15.101833333333333,74.0,SN2007ca,2007/05/20
176.44104166666665,19.770527777777776,70.0,SN2007ci,2007/05/14
149.98233333333332,-29.617583333333332,28.0,SN2007cj,2007/05/02
357.41249999999997,29.93113888888889,66.0,SN2007cs,2007/06/23
159.43916666666667,-27.0825,33.8,SN2007cv,2007/07/06
36.643375,-15.843472222222223,75.0,SN2007E,2007/01/04
359.21820833333334,5.5088333333333335,70.0,SN2007fb,2007/07/10
330.41849999999994,-21.508222222222223,52.0,SN2007fs,2007/07/16
191.76541666666662,-41.589444444444446,46.0,SN2007ft,2007/07/14
180.34758333333332,61.89272222222222,19.0,SN2007gi,2007/08/14
345.4495416666666,15.586500000000001,63.119,SN2007hj,2007/09/10
34.715416666666655,33.72869444444444,80.8,SN2007J,2007/01/24
359.6559583333333,60.985194444444446,28.0,SN2007kg,2007/09/26
106.50374999999998,28.295944444444444,73.94,SN2007ki,2007/09/26
354.7018749999999,-6.522694444444444,19.0,SN2007le,2007/10/27
181.142375,20.19172222222222,93.193,SN2007M,2006/12/23
192.25520833333331,-9.452833333333333,64.0,SN2007N,2007/01/29
54.712083333333325,-35.575,18.1,SN2007on,2007/11/12
91.29470833333332,-49.29977777777778,95.0,SN2007pl,2007/11/04
358.55408333333327,27.409166666666664,90.32,SN2007qe,2007/11/27
27.470249999999997,-27.467805555555554,70.0,SN2007rv,2007/11/06
150.13025,4.407277777777778,57.0,SN2007S,2007/02/08
165.79491666666667,56.22397222222222,22.556,SN2007sa,2007/11/20
180.47,-18.972694444444443,16.0,SN2007sr,2007/12/16
190.27529166666665,50.391305555555554,69.41,SN2007ss,2007/12/22
27.17695833333333,-48.649388888888886,95.34,SN2007st,2007/12/21
24.572416666666665,35.370472222222226,70.0,SN2008A,2008/01/20
155.44954166666665,-19.495,88.95,SN2008as,2008/02/06
